,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
1323,DAÑOS,2021-08-10,2021,15:45,TARDE,MARTES,RECREO,CALLE 23 CARRERA 24,URBANA,TECNICO,3.52065,-76.29588,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,RENAULT,NO APLICA 2021,PARTICULAR,NO APLICA
1324,DAÑOS,2021-08-10,2021,15:45,TARDE,MARTES,RECREO,CALLE 23 CARRERA 24,URBANA,TECNICO,3.52065,-76.29588,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,BUS,CHEVROLET,NO APLICA 2021,PUBLICO,NO APLICA
1325,DAÑOS,2021-08-09,2021,21:00,NOCHE,LUNES,ALTAMIRA,CARRERA 19 CALLE 47,URBANA,TECNICO,3.54261,-76.29104,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,FORD,NO APLICA 2021,PARTICULAR,NO APLICA
1326,DAÑOS,2021-08-09,2021,21:00,NOCHE,LUNES,ALTAMIRA,CARRERA 19 CALLE 47,URBANA,TECNICO,3.54261,-76.29104,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMION,CHEVROLET,NO APLICA 2021,PUBLICO,NO APLICA
1327,HERIDOS,2021-08-11,2021,12:30,TARDE,MIERCOLES,PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,3.53726,-76.29239,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,SANTA BARBARA,MOTO,YAMAHA,NO APLICA 2021,PARTICULAR,NO APLICA
1328,HERIDOS,2021-08-11,2021,12:30,TARDE,MIERCOLES,PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,3.53726,-76.29239,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,PALMA,MOTO,QINGQI,NO APLICA 2021,PARTICULAR,NO APLICA
1329,DAÑOS,2021-08-11,2021,09:10,MAÑANA,MIERCOLES,RIVERA ESCOBAR,CARRERA 35 CALLE 31-14,URBANA,TECNICO,3.52913,-76.30567,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1330,DAÑOS,2021-08-11,2021,09:10,MAÑANA,MIERCOLES,RIVERA ESCOBAR,CARRERA 35 CALLE 31-14,URBANA,TECNICO,3.52913,-76.30567,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,KIA,NO APLICA 2021,PUBLICO,COOP TRANS PALMERAS
1331,HERIDOS,2021-08-11,2021,11:15,MAÑANA,MIERCOLES,PRIMERO DE MAYO,CALLE 41 CARRERA 12,URBANA,TECNICO,3.53634,-76.28493,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
1332,HERIDOS,2021-08-11,2021,11:15,MAÑANA,MIERCOLES,PRIMERO DE MAYO,CALLE 41 CARRERA 12,URBANA,TECNICO,3.53634,-76.28493,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,RENAULT,NO APLICA 2021,PARTICULAR,NO APLICA
